,year,new
15,1965,"[' Presidential election held. Field Marshal Ayub Khan re-elected as president.', "" Ayub Khan's son attacked on Mohajirs neighbourhoods in Karachi leading a procession of armed people from NWFP, killed a number of Mohajirs, ablazed their homes. President Ayub fully supported the attackers"", ' National Assembly elections held. Out of 150, Pakistan Muslim League wins 120 seats.', ' Pakistan and India sign accord on Rann of Kutch.', ' Second war between India and Pakistan over Kashmir.', ' A cease-fire between India and Pakistan comes into force.']"
16,1966,"[' Tashkent Declaration signed between India and Pakistan.', ' Sheikh Mujibur Rahman, chief of Awami League, announces his six points in Karachi.', ' Z. A. Bhutto then foreign minister, resigns.', ' General Yahya Khan becomes C-in-C of Pakistan Army. General Musa Khan appointed Governor General of West Pakistan.', ' Punjab city of Montgomery renamed Sahiwal.']"
17,1967,"[' Mohtarma Fatima Jinnah died in Karachi.', "" Pakistan's first steel mill is inaugurated at Chittagong."", ' Pakistan awards Sitara-i-Imtiaz to Egyptian vocalist Umm-i-Kulsoom for singing the poetry of Allama Iqbal.', ' Malik Amir Muhammad, Nawab of Kalabagh is shot dead.', ' Pakistan Peoples Party comes into being.']"
18,1968,"[' Agartala conspiracy case for secession of East Pakistan, unearthed. 28 involved persons arrested.', ' Pakistan Television Dhaka Station is inaugurated.', ' Pakistan becomes Olympic hockey champion, winning over Australia 2–1.', "" Students' demonstrations start throughout the country that later led to resignation of General Auyb Khan."", ' Mir Waiz Yousaf Shah, Grand Mufti of Kashmir, dies in Rawalpindi.']"
19,1969,"[' All court cases against students are withdrawn in West Pakistan.', ' East Pakistan uprising forces Ayub Khan to resign and hand over power to Army Chief General Yahya Khan. Martial law is proclaimed and assemblies are dissolved.', ' Pakistan and India sign the final maps of the Rann of Kutch in Islamabad.', "" Indian official delegation excluded from Islamic Summit Conference following Pakistan's demand."", ' 300 Class I gazetted officers, allegedly involved in corruption, are suspended.']"
20,1970,"[' Air Marshal Asghar Khan forms new political party, Tehrik-i-Istaqlal.', ' First ordinance factory is inaugurated at Ghazipur.', ' One-unit of West Pakistan abolished, provinces restored.', ' First General elections held. Awami League and Pakistan People Party emerge as leading parties in East and West Pakistan.', ' Pakistan wins gold medal in Asian Games hockey, beating India 1–0.']"
21,1971,"[' An Indian Airlines aeroplane, hijacked by two Kashmiri separatists, lands at Lahore airport.', ' Korakoram Highway, linking China and Pakistan, opened.', ' Pakistan Army launched Operation Searchlight', "" Rashid Minhas awarded Nishan-i-Haider, Pakistan's highest gallantry award."", ' Pakistan wins World Hockey Cup defeating Spain 1–0 at Barcelona.', ' India launches full-scale attack on East Pakistan.', ' Major Shabbir Sharif Shaheed was killed by a direct hit in the afternoon.', ' Dhaka falls and Bangladesh comes into being.', ' General Yahya Khan hands over power to Z. A. Bhutto, who takes over as President and Chief Martial Law Administrator.']"
22,1972,"[' Sheikh Mujibur Rehman is released unconditionally.', ' Zulfikar Ali Bhutto called a secret meeting at Multan, and launches the programme on nuclear weapons development.', ' Pakistan snaps ties with Commonwealth on recognizing Bangladesh.', ' New education policy enforced. Free education in all private and public schools.', ' First session of National Assembly. Zulfikar Ali Bhutto elected as president.', ' Martial Law lifted; constitutional rule is restored in the country. Hamoodur Rahman is sworn in as Chief Justice of Pakistan.', ' Labour Day is celebrated for the first time in Pakistan.', ' Simla Agreement is signed between President Zulfikar Ali Bhutto and Prime Minister Indira Gandhi.', ' Riots in Karachi over Sindhi language bill. Dozens of Urdu speakings killed by forces.', ' President Bhutto inaugurates Karachi Nuclear Power Plant (KANUPP).']"
23,1973,"[' Begum Rana Liaquat Ali becomes first woman to assume office of Sindh Governor.', ' 1973 Constitution of Pakistan enacted by the National Assembly.', ' Chaudhry Fazal Ilahi is elected as president.', ' Constitution of Pakistan 1973 promulgated', ' Return of Pakistan POWs accord signed in New Delhi.', ' Z. A. Bhutto lays foundation stone of Pakistan Steel Mills.']"
24,1974,"[' Pakistan recognizes Bangladesh.', ' Islamic Summit Conference starts in Lahore; 22 heads of state participate.', ' Human rights violations occur in resolution forcing all Ahmadi groups to identify as non-Muslim while residing in Pakistan']"
25,1975,"[' Noted scholar and VC of Karachi University Dr. Mehmood Hussain dies.', ' Council of Islamic Ideology recommends to abolish Riba and introduce Zakat.', ' Pakistan and Bangladesh agree to establish diplomatic ties.', ' Renowned journalist Agha Shorish Kashmiri dies in Lahore.', "" 1976 is declared Quaid's Century year.""]"
26,1976,"[' General Muhammad Zia-ul-Haq becomes Chief of Army Staff.', ' Sardar system is abolished in Balochistan.', ' Lahore-Amritsar train service, Samjhota Express starts.', ' A.Q. Khan research laboratories established.', ' Z. A. Bhutto lays the foundation-stone of Port Qasim.']"
27,1977,"[' Nine opposition parties form joint election forum, Pakistan National Alliance (PNA).', ' General elections are held in the country. PPP wins 155, PNA 35 seats out of 200.', ' Friday is announced weekly holiday, replacing Sunday.', ' General Zia-ul-Haq enforces Martial Law. Constitution suspended; political activities banned.', ' Z. A. Bhutto arrested under Martial Law orders.']"
28,1978,"["" Allama Iqbal's Lahore house is declared national monument."", ' Lahore High Court awards death sentence to Bhutto along with four others.', ' First of the 13-volume exhaustive Urdu Dictionary is published by Taraqqi-i-Urdu Board.', ' Altaf Hussain forms All Pakistan Muhajir Students Organization (APMSO), now called the Muttahida Qaumi Movement (MQM).', ' General Zia-ul-Haq is sworn in as president.', ' Pakistan wins Hockey Champion Trophy at Lahore, defeating Australia.']"
29,1979,"["" Supreme Court upholds Bhutto's conviction in Nawab Muhammad Ahmed Khan Kasuri murder case."", ' Z. A. Bhutto assassinated in Rawalpindi jail.', ' Pakistan is admitted to Non-Aligned Movement (NAM).', ' Dr. Abdus Salam, eminent Pakistani scientist, is awarded Physics Nobel Prize.', ' General Zia-ul-Haq putt of polls indefinitely, political parties dissolved, press censorship imposed.']"
30,1980,"[' Pakistan boycotts Moscow Olympics.', ' Establishment of Federal Shariat Court is announced.', ' Government starts collecting Zakat.', ' Former PM, Chaudhry Muhammad Ali, dies in Karachi.', ' Shirin Bai, sister of Quaid-i-Azam, dies in Karachi.']"
31,1981,"[' Interest-free banking introduced.', ' International Islamic University starts functioning.', ' Jalal abad, veteran Muslim leader died.', ' National population census starts throughout the country.', ' A PIA Boeing 720 with 148 passengers hijacked to Kabul.', 'Provisional constitutional order enforced,replacing the 1973 constitution.', ' Pakistan Steel Mills starts functioning.']"
32,1982,"[' Pakistan defeats Germany 3–1 in World Cup Hockey in Bombay.', ' General Zia-ul-Haq inaugurates first session of Federal Council (Shoora) in Islamabad.', ' Noted Urdu poet, Josh Malihabadi, dies in Islamabad.', ' Jahangir Khan wins British Open Squash Championship.', "" Writer of Pakistan's national anthem, Hafeez Jalandhari dies.""]"
33,1983,"[' First three F-16 jets reach Pakistan.', ' Wifaqi Mohtasib (Ombudsman) Order is promulgated. Justice Sardar Iqbal is named, WM.', ' Nuclear tests', ' Government lifts censorship from periodicals.', ' Foundation-stone of Satellite Earth Station is laid near Rawalpindi.', ' Weather Report', ' Established Dera Bugti', ' First phase of local bodies election starts.']"
34,1984,"[' Government imposes ban on all students unions.', ' Altaf Hussain forms MQM.', ' Ban imposed on use of Islamic nomenclature by Ahmadis.', ' Renowned poet Faiz Ahmed Faiz died.', ' General Zia-ul-Haq holds presidential referendum.']"
35,1985,"[' Partyless national elections held.', ' Muhammad Khan Junejo sworn in as Prime Minister and General Zia as president.', ' Death of Bushra Zaidi, a university student, engenders a series of riots.', ' National Assembly adopts Eighth Amendment Bill.', ' Martial Law is lifted, amended 1973 Constitution revived.']"
36,1986,"[' Benazir Bhutto returns to homeland.', ' President Zia lays foundation stone of Al-Shifa Trust Eye Hospital in Rawalpindi.', ' Peshawar Dry Port is inaugurated.', ' Hijacked Pan Am Flight 73 is freed after commando action in Karachi.', ' England beats World Champions Pakistan 1-3 in semi-final of World Cup Hockey.']"
37,1987,"[' President Zia makes a surprise to India, met Premier Rajiv Gandhi.', ' Qazi Hussain Ahmed becomes Amir of Jamat-i-Islami.', ' Jan Sher Khan wins World Open Squash Championship for the first time.', ' Local bodies election held throughout the country.', ' Benezir Bhutto marries Asif Ali Zardari.']"
38,1988,"[' Army ammunition blown up in Ojheri camp, Rawalpindi; more than 100 people died.', ' Jahangir Khan wins seventh Squash title in a row.', ' President General Zia dissolves National Assembly and Junejo cabinet.', ' President General Zia promulgates Shariat Ordinance making Sharia supreme law of the land.', ' General Zia-ul-Haq is killed in a plane crash near Bahawalpur.', ' Eight political parties form Islamic Jamhori Itehad (IJI).', ' General elections held. PPP wins 92, IJI secures 54.', ' Benazir Bhutto is sworn in as first woman Prime Minister of Pakistan.']"
39,1989,"[' Students unions are restored in Punjab & won by IJT (Islami Jamiat-e-Talaba).', ' ISI Chief Lt. Gen. Hameed Gul is replaced by Shamsur Rahman Kallu.', ' Pakistan rejoins Commonwealth.', ' SAF Games open in Islamabad.', ' No-Confidence move against Prime Minister Benazir Bhutto failed.']"
40,1990,"[' Kashmir Solidarity Day observed for the first time', ' President Ghulam Ishaq Khan dissolves National Assembly and dismisses Benazir Government. Ghulam Mustafa Jatoi becomes care-taker prime minister.', ' Sandak project signed between Pakistan and China at Beijing.', ' General elections held. IJI gets 104 and PDA wins 45 seats.', ' Nawaz Sharif elected Prime Minister, securing 153 votes.', ' Pakistan becomes 37th country to send expedition to Antarctica.']"
41,1991,"[' Jahangir Khan creates history by winning the British Open Squash title for the record tenth consecutive time.', ' National Assembly adopts Shariat Bill.', ' Pakistan unveils the first battle tank Al-Khalid manufactured jointly by Pakistan and China.', ' Nawaz Sharif lays the foundation-stone of Bab-i-Pakistan at Walton Lahore.', ' Chief of Army Staff General Mirza Aslam Baig retires. General Asif Nawaz assumes command.']"
42,1992,"[' Lahore-Islamabad Motorway project launched.', ' Nawaz Sharif introduces yellow-cab taxi scheme.', ' Pakistan won Cricket World Cup, defeating England by 22 runs in Melbourne, Australia.', "" Pakistan's Alam Channa enters Guinness Book of World Records as the tallest man in the world."", ' Military operation against MQM starts in.', ' 1992 India - Pakistan Floods was a deadliest flood caused by five-day-long heavy monsoon rains in northern areas of Pakistan.']"
43,1993,"[' General Asif Nawaz dies of heart attack in Rawalpindi.', ' President Ghulam Ishaq Khan dissolves National Assembly, dismisses Nawaz Sharif government. Balkh Sher Mazari becomes care-take prime minister.', ' Supreme Court restores National Assembly and Prime Minister Nawaz Sharif.', ' President Ghulam Ishaq Khan and Prime Minister Nawaz Sharif quit their offices.', ' General elections held. PPP wins 86; PML (N) secures 72 seats.', ' Benazir Bhutto is elected prime minister by 121 votes.', ' Farooq Laghari elected eighth president of Pakistan.']"
44,1994,"[' Pakistan Television transmission gets access to 38 countries via satellite.', "" Benazir Bhutto inaugurates country's first women police station in Islamabad."", "" Pakistan's mourned scientist Dr. Salimuzzaman Siddiqui dies in Karachi."", "" PPP put its first budget before the National Assembly.The budget proposed new taxes amounting RS.128 billion. People started to revolt.The government's popularity diminished."", ' Pakistan regains World Hockey Championship title after 12 years, beating Holand 4–3.', ' Renowned poet Parveen Shakir killed in a road accident in Islamabad.']"
45,1995,"[' Veteran politician, G. M. Syed dies in Karachi.', ' Sindh Government lifts ban on six Karachi evening newspapers.', ' WAPDA announces record increase of 14.5 percent in electricity rates.', ' Lahore High Court dismisses appeal against arrest of Maj. Gen. Zaheerul Islam Abbasi in Khilafat Conspiracy Case.']"
46,1996,"[' General Jahangir Karamat became chief of army staff.', ' Cricket World Cup jointly hosted by Pakistan, India and Sri Lanka.', ' Imran Khan launches new political party, Pakistan Tehrek-e-Insaf (PTI).', ' Mir Murtaza Bhutto assassinated in Karachi.', ' President Farooq Ahmed Leghari dissolves National Assembly sacking Premier Benazir Bhutto. Malik Mairaj Khalid became care-taker prime minister.']"
47,1997,"["" Supreme Court upholds President's proclamation dissolving the National Assembly and dismissing Benazir Government."", ' Nation goes to the polls. PML secures 135 seats.', ' Nawaz Sharif sworn in as 19th Prime Minister.', ' Nawaz Sharif launches ""Qarz utaro Mulk sanwaro"". He declared Sunday as a public holiday and convert Friday into half day.', ' Saeed Anwar slams world record score of 194 runs against India.', ' Noted Pakistani singer, Nusrat Fateh Ali Khan died at Cromwell Hospital, London, United Kingdom in the age of 49.']"
48,1998,"[' Rafiq Tarrar is sworn in as President of Pakistan', ' Population census begins in the country.', ' Pakistan conducts nuclear tests in Chagai hills in Balochistan.', ' State Bank bans opening of new foreign currency accounts and suspends withdrawals.', ' UN Security Council deny nuclear power status to Pakistan and India.']"
49,1999,"[' A classic Test match as Pakistan defeat India by twelve runs.', ' Pakistan Crushed India by 46 runs in inaugural Asian test championship', ' Lahore Declaration is signed by Nawaz Sharif and A. B. Vajpayee.', ' Pakistan beats Sri Lanka in the final of the inaugural Asian test championship.', ' Pakistan conducts test of a nuclear-capable short-range ballistic missile, Shaheen.', ' Pakistan won Coca-Cola Cup final at Sharjah crushing India by 8 wickets', ' Australia defeats Pakistan in World Cup Cricket by 8 wickets.', ' Kargil War ends between Pakistan and India. India won the war.', ' Nawaz Sharif is ousted from power and placed under house arrest after attempting to sack General Pervez Musharraf.']"
50,2000,"[' Nawaz Sharif sentenced to life imprisonment on charges of hijacking and terrorism.', ' Supreme Court validated the October 1999 coup and granted General Pervez Musharraf executive and legislative authority for three years. In June the ISI chief Maj Amir says in interview we first drone attack on bajur in 2000 and then we operation is start in 2001.', ' President Musharraf introduces Local Government Ordinance.', ' Nawaz Sharif along with family, sent into exile in Saudi Arabia.', ' Famous singer, Noor Jahan dies in Karachi.']"
51,2001,"[' Maulana Abdul Sattar Khan niazy a veteran Politician and torch bearer of Nizam-e-Mustafa Tehrik died on Wednesday. He was born on October 5, 1915', ' General Pervez Musharraf assumes office of president while remaining Chief of Army Staff.', ' Agra Summit starts. President Pervez Musharraf and Indian Prime Minister Vajpayee holds talks over long-standing issues.', ' New Local Government system installed, after holding of elections in three phases.', "" US Secretary of State Powell told that Pakistan's President Musharraf had agreed to support the U.S. anti-terrorist campaign."", ' US President Bush meets President Musharraf in New York and assures additional aid of one billion dollar.']"
52,2002,"[' Musharraf stunned Vajpayee by a hand-shake at the last 11th SAARC summit in Kathmandu.', ' Wall Street Journal reporter, Daniel Pearl killed in Karachi.', ' Musharraf wins in a referendum.', ' President General Musharraf issues the Legal Framework Order 2002.', ' General election held in the country.', ' Mir Zafarullah Khan Jamali sworn in as prime minister.']"
53,2003,"[' Senate elections', "" AAJ TV, Pakistan's premier channel inaugurated."", ' President Pervez Musharraf meets G.W. Bush in Camp David. US announces $3-billion five-year economic assistance package for Pakistan.', ' Lahore-Delhi bus service resumed after suspension of 18 months.', ' General Musharraf survived an assassination attempt in Rawalpindi.']"
54,2004,"[' General Musharraf won a vote of confidence in the Senate, National Assembly, and provincial assemblies.', ' Musharraf meets Vajpayee in Islamabad, discusses Kashmir dispute.', ' Pakistan readmitted to Commonwealth.', ' Prime Minister Zafarullah Khan Jamali steps down and nominates Ch. Shujaat Hussain as his interim successor.', ' Shaukat Aziz becomes Prime Minister.']"
55,2005,"[' A new local government ordinance 2005 was promulgated. The members of union council and the number of councilors were reduced from 21 to 13.', ' 136 people killed and about 170 injured in a collision of three passenger trains near Ghotki.', ' Government of Pakistan launches country-wide crackdown against extremist elements.', ' A devastating earthquake in Kashmir and NWFP kills over 80 thousands people.', ' Renowned littérateur, linguist and poet, Shanul Haq Haqqee, dies in Toronto. He was 88.']"
56,2006,"[' Dr. Shamshad Akhtar assumes office of State Bank Governor having the first woman Governor of SBP.', ' Charter of democracy (CoD) is signed by two former prime ministers of Pakistan, Nawaz Sharif and Benazir Bhutto in London.', ' Pervez Musharraf lays foundation-stone of Diamir-Bhasha dam.', ' Process to release over 1600 women prisoners from 55 jails across starts after Presidential Ordinance.', ' Noted poet, writer and columnist, Ahmed Nadeem Qasmi, dies in Lahore. He was 89.', ' Akbar Bugti is killed; his hide-out cave collapsed and killed everyone inside, including Pakistan Army soldiers that had come there for negotiation and talks with Akbar.']"
57,2007,"[' President Musharraf dismissed Chief Justice of Pakistan, Iftikhar.', ' Iftikhar restored as Chief Justice of Pakistan.', ' Bhutto, Benazir returned to Pakistan, after exile of about 8 years.', ' Pervez Musharraf imposed emergency, most of the senior judges of Supreme Court ousted.', ' After completion of 5 years, National Assembly dissolved, Caretaker government of Muhammad Mian Soomro took oath.', ' Nawaz Sharif returned Pakistan after 7 years of forced exile.', ' Emergency lifted, banned civil rights and suspended constitution restored.', ' Bhutto, Benazir assassinated in a blast/bullet attack in Rawalpindi.']"
58,2008,"[' The Election Commission announces elections will now be held on February 18.', ' Elections are held amidst tight security. PPP, PML-N, PML-Q, MQM and ANP win 124, 91, 54, 25 and 13 seats respectively.', ' Yusuf Raza Gilani is elected as the new prime minister.', ' Pervaiz Musharraf steps down as President of Pakistan. Mohammadmian Soomro takes over as president.', ' Asif Zardari wins presidential election with 481 votes.', ' Asif Zardari takes oath as President of Pakistan.']"
59,2009,"[' Taliban form Swat Valley as their sanctuary.', ' Militants attack bus with the touring Sri Lankan cricket team. All international cricket matches in Pakistan are suspended. Pakistan also loses its status as hosts for the cricket World Cup 2011.', ' Pakistan Army launched Operation Rah-e-Rast and cleared Swat Valley of all Taliban elements. It is regarded as one of the most successful counter-insurgency operation in modern age', "" Pakistan vs Sri Lanka in Final. Pakistan won the ICC T20 Cricket World Cup in Lord's London England. Pakistan won by 8 wickets."", ' Captain Bilal Zafar Abbasi got shahadat[clarification needed] during Operation Rah-e-Rast and awarded Sitar-e-Basalat, the hero of Ghazanosar.']"
60,2010,"[' Pakistan adopts the 18th amendment to the Constitution, stripping President Asif Ali Zardari of key powers.', ' Extensive flooding after monsoon rains. At least 1,600 people were killed', ' Crash of Airblue Flight 202, killed all 152 people on board.', ' 12 suspected militants in North Waziristan are killed by a suspected American drone attack.[2]', ' At least 35 people are killed and more than 250 others injured, following a series of bomb attacks on a Shia Islamic procession in Lahore. The attacks, two of which were said to be from suicide bombers took place at a commemoration of the death of Ali ibn Abi Talib.[3]', ' American actress Angelina Jolie visits flood-hit areas of the country as the UN launches a renewed appeal for aid.[4]', "" Exiled politician Imran Farooq is found murdered near his home in exile in north London having been stabbed several times.[5][6] Violence erupted in his hometown Karachi following his murder. Several shops and vehicles were set on fire however no casualties were reported. MQM called for a 10-day strike to mourn Farooq's death.[7]"", ' Pervez Musharraf launches his new political party, the All Pakistan Muslim League, at a club in London.[8]', ' US Secretary of State Hillary Clinton announces that the American government is to give US$2 billion in military aid.[9]', ' A bomb explodes in a mosque in Darra Adam Khel in North-West Pakistan, killing at least 55 people and injuring over 100. Later that same day a grenade attack on another mosque in the village of Sulemankhel near Peshawar claimed at least two lives. Both attacks occurred during daily prayer sessions.[10]', ' Sun Way Flight 4412 crashes.', ' A female suicide bomber kills at least 43 people in Khar near the border with Afghanistan.[11]']"
61,2011,"[' Salmaan Taseer, the governor of Punjab, is shot by one of his bodyguards near his home for opposing Blasphemy law in Pakistan.[12]', ' Internationally acclaimed Pakistani painter and Pride of Performance winner Prof. A. R. Nagori passes away.[13]', ' A US diplomat, Raymond Davis, kills two men on a motorbike in Lahore allegedly in self-defense while a companion of the diplomat, who is also an American citizen, crushed to death a bike rider in a hit-and-run incident.[14]', ' The Minister for Minority Affairs, Shahbaz Bhatti, was assassinated in Islamabad', ' Pakistan plays ICC 2011 Cricket World Cup against India.[15]', ' Internationally renowned Pakistani actor, Moin Akhtar, dies at the age of 60 years in Karachi after suffering from a heart attack.', ' The US Navy Seals killed Osama bin Laden in the city of Abbotabad.[16]', ' Mass target killing occurred killing ~344 people throughout Karachi.[17]', ' A NATO attack on two Pakistani border checkposts in Salala in the Baizai subdivision of Mohmand Agency in Federally Administered Tribal Areas kill 24 soldiers of the Pakistan Army.[18]']"
62,2012,"[' India-Pakistan exchange a list of their nuclear installations.[19]', ' Sharmeen Obaid-Chinoy becomes the first Pakistani to ever win an Oscar at the 84th Academy Awards for the reconstructive surgery of acid attack victims, Saving Face wins for Best Documentary (Short Subject).[20]', ' Raja Pervaiz Ashraf is elected as Prime Minister of Pakistan, following the disqualification of Yousaf Raza Gillani over a contempt of court conviction by the Supreme Court of Pakistan.[21]', ' A Gunman attacked a military camp near Wazirabad in Punjab, killing seven security personnel soon after reopening for NATO supply lines to Afghanistan.', ' The nation celebrated its 65th Independence Day.', ' Over 314 people die in factory fires in Karachi and Lahore.[22]', ' 14-year-old blogger Malala Yousafzai was shot in the head by the Pakistani Taliban.[23]', ' US polls event organised in US embassy in Pakistan.', ' 135th Iqbal day celebrated with full zeal across the nation.']"
